"name","party","screen_name","class"
"tesei donatella","lega","donatella_tesei","S"
"testor elena","fi","elenatestor","S"
"tiraboschi maria virginia","fi","virginiatirabo1","S"
"toffanin roberta","fi","toffaninroberta","S"
"toninelli danilo","m5s","danilotoninelli","S"
"tosato paolo","lega","paolotosato3","S"
"totaro achille","fdi","totaroachille","S"
"trentacoste fabrizio","m5s","trentacostem5s","S"
"turco mario","m5s",NA,"S"
"unterberger julia","aut (svp-patt; uv)",NA,"S"
"urraro francesco","m5s","avvocato_urraro","S"
"urso adolfo","fdi","adolfo_urso","S"
"vaccaro sergio","m5s","sergio_vaccaro1","S"
"valente valeria","pd","valeriavalente_","S"
"vallardi gianpaolo","lega",NA,"S"
"vanin orietta","m5s","oriettavanin","S"
"vattuone vito","pd","vvattuone","S"
"verducci francesco","pd","cescverducci","S"
"vescovi manuel","lega","manuel_vescovi","S"
"vitali luigi","fi","vitali_l","S"
"vono gelsomina","m5s","gsilviavono","S"
"zaffini francesco","fdi",NA,"S"
"zanda luigi","pd",NA,"S"
"zuliani cristiano","lega","sheriffzuliani","S"
"acquaroli francesco","fdi","acquarolif","D"
"acunzo nicola","m5s","nicola_acunzo","D"
"adelizzi cosimo","m5s","cosimo_adelizzi","D"
"aiello davide","m5s","davideaiello85","D"
"aiello piera","m5s","aiello_piera","D"
"alaimo roberta","m5s",NA,"D"
"alemanno maria soave","m5s","msalemanno","D"
"amitrano alessandro","m5s","aleamitrano","D"
"andreuzza giorgia","lega","giorgiandreuzza","D"
"angelucci antonio","fi","docangelucci","D"
"angiola nunzio","m-02","nunzioangiola","D"
"annibali lucia","iv","lannibali","D"
"anzaldi michele","iv","michele_anzaldi","D"
"aprea valentina","fi","apreavalentina","D"
"aprile nadia","m-02",NA,"D"
"aresta giovanni luca","m5s","glaresta","D"
"ascani anna","pd","annaascani","D"
"ascari stefania","m5s","stefania_ascari","D"
"azzolina lucia","m5s","azzolinalucia","D"
"badole mirco","lega","mirco_badole","D"
"bagnasco roberto","fi","robbagnasco","D"
"baldelli simone","fi","simonebaldelli","D"
"baldini maria teresa","fdi","mtbaldini","D"
"baldino vittoria","m5s","baldinovittoria","D"
"baratto raffaele","fi","raffabaratto","D"
"barbuto elisabetta maria","m5s",NA,"D"
"barelli paolo","fi",NA,"D"
"baroni anna lisa","fi","annalisabaroni","D"
"baroni massimo enrico","m5s","m5s_baroni","D"
"bartolozzi giusi","fi","giusibartolozzi","D"
"barzotti valentina","m5s","barzotti_lavoro","D"
"basini giuseppe","lega",NA,"D"
"battelli sergio","m5s","battellisergio","D"
"battilocchio alessandro","fi","alebattilocchio","D"
"bazoli alfredo","pd","alfredobazoli","D"
"bazzaro alex","lega","alexbazzaro","D"
"bella marco","m5s","donmarcomori","D"
"bellachioma giuseppe ercole","lega",NA,"D"
"bellucci maria teresa","fdi","maresabellucci","D"
"belotti daniele","lega","danielebelotti1","D"
"benamati gianluca","pd","gbenamati","D"
"bendinelli davide","iv","d_bendinelli","D"
"benedetti silvia","m-02","silviaportavoce","D"
"benigni stefano","m-03","stefanobenigni","D"
"benvenuto alessandro manuel","lega","alebenvenuto","D"
"berardini fabio","m5s","fabioberardini","D"
"bergamini deborah","fi","deborahbergamin","D"
"berlinghieri marina","pd","m_berlinghieri","D"
"bersani pier luigi","leu","pbersani","D"
"berti francesco","m5s","francescoberti_","D"
"bianchi matteo luigi","lega","luigi_matteo","D"
"biancofiore michaela","fi","biancofioremiky","D"
"bignami galeazzo","fdi","galeazzobignami","D"
"billi simone","lega","simo_billi","D"
"bilotti anna","m5s","bilotti_anna","D"
"binelli diego","lega",NA,"D"
"bisa ingrid","lega","bisaingrid","D"
"bitonci massimo","lega","massimobitonci","D"
"boccia francesco","pd","f_boccia","D"
"boldi rossana","lega","boldirossana","D"
"boldrini laura","pd","lauraboldrini","D"
