"name","party","screen_name","class"
"frassinetti paola","fdi","FrassinettiP","D"
"frassini rebecca","lega","rebeccafrassini","D"
"frate flora","m-02","FloraFrate","D"
"fratoianni nicola","leu","NFratoianni","D"
"fregolent silvia","iv","SilviaFregolent","D"
"frusone luca","m5s","lucafrusone","D"
"furgiuele domenico","lega","DomenicoFurgiu1","D"
"fusacchia alessandro","m-05","FusacchiA","D"
"gadda maria chiara","iv","McGadda","D"
"gagliardi manuela","m-03","manusp73","D"
"gagnarli chiara","m5s","chiara_201181","D"
"galantino davide","fdi","davidegalantino","D"
"galizia francesca","m5s","FrancescaGaliz3","D"
"galli dario","lega","dariogalli5","D"
"gallinella filippo","m5s","Gallinella_F","D"
"gallo luigi","m5s","LuigiGallo15","D"
"garavaglia massimo","lega","massimogara","D"
"gariglio davide","pd","DavideGariglio","D"
"gastaldi flavio","lega","FlavioGastaldi","D"
"gava vannia","lega","VanniaGava","D"
"gebhard renate","m-04",NA,"D"
"gelmini mariastella","fi","msgelmini","D"
"gemmato marcello","fdi","marcellogemmato","D"
"gerardi francesca","lega","21Gerardi","D"
"germana' antonino","fi",NA,"D"
"giaccone andrea","lega","AndreaGiaccone","D"
"giachetti roberto","iv","bobogiac","D"
"giacomelli antonello","pd","Antonellogiac","D"
"giacometti antonietta","lega",NA,"D"
"giacometto carlo","fi","CarloGiacometto","D"
"giacomoni sestino","fi",NA,"D"
"giannetta domenico","fi",NA,"D"
"giannone veronica","m-02","Giannone_M5S","D"
"giarrizzo andrea","m5s","andreagiarrizz","D"
"giglio vigna alessandro","lega",NA,"D"
"giordano conny","m5s","ConnyGiordano_5","D"
"giorgetti giancarlo","lega",NA,"D"
"giorgis andrea","pd","giorgis65","D"
"giuliano carla","m5s","CarlaM5s","D"
"giuliodori paolo","m5s","PaoloGiuliodori","D"
"gobbato claudia","lega","ClaudiaGobbato","D"
"golinelli guglielmo","lega","GullyGolinelli","D"
"grande marta","m5s","MartaGrande87","D"
"gribaudo chiara","pd","chiaragribaudo","D"
"grillo giulia","m5s","GiuliaGrilloM5S","D"
"grimaldi nicola","m5s",NA,"D"
"grimoldi paolo","lega","GrimoldiPaolo","D"
"grippa carmela","m5s","MELINDAGRIPPA","D"
"gualtieri roberto","pd","gualtierieurope","D"
"gubitosa michele","m5s","MicheleGubitosa","D"
"guerini lorenzo","pd","guerini_lorenzo","D"
"guidesi guido","lega",NA,"D"
"gusmeroli alberto luigi","lega",NA,"D"
"ianaro angela","m5s","AngelaIanaro","D"
"iezzi igor giancarlo","lega",NA,"D"
"incerti antonella","pd","antoincerti","D"
"invernizzi cristian","lega","cristianinve","D"
"invidia niccolo'","m5s",NA,"D"
"iorio marianna","m5s",NA,"D"
"iovino luigi","m5s","IovinoLuigiM5S","D"
"l'abbate giuseppe","m5s","baffone5stelle","D"
