"name","party","class","screen_name"
"vallardi gianpaolo","lega","S",NA
"vanin orietta","m5s","S","OriettaVanin"
"vattuone vito","pd","S","vvattuone"
"verducci francesco","pd","S","cescverducci"
"vescovi manuel","lega","S","manuel_vescovi"
"vitali luigi","fi","S","vitali_l"
"vono gelsomina","m5s","S",NA
"zaffini francesco","fdi","S",NA
"zanda luigi","pd","S",NA
"zuliani cristiano","lega","S","SheriffZuliani"
